$	đô la
đô la	đô la
€	ơ rô
¥	yên nhật
₩	won
₫	đồng
đ	đồng
đồng	đồng
£	bảng anh
₹	rupee
¢	xu
₣	franc pháp
cent	xu
cents	xu
CHF	franc thụy sĩ
FF	franc pháp
JPY	yên nhật
KRW	won hàn quốc
CNY	nhân dân tệ
USD	đô la
usd	đô la
SGD	đô la singapore
MYR	ringgit malaysia
THB	baht thái lan
IDR	rupiah indonesia
PHP	peso philippines
AUD	đô la úc
CAD	đô la canada
NZD	đô la new zealand
HKD	đô la hồng kông
TWD	đô la đài loan
ff	franc pháp
chf	franc thụy sĩ
jpy	yên nhật
krw	won hàn quốc
cny	nhân dân tệ
usd	đô la
vnd	đồng
vnđ	đồng
sgd	đô la singapore
myr	ringgit malaysia
thb	baht thái lan
idr	rupiah indonesia
php	peso philippines
aud	đô la úc
cad	đô la canada
nzd	đô la new zealand
hkd	đô la hồng kông
twd	đô la đài loan
VND	đồng
VNĐ	đồng
